OriginZip,DestinationZip,num_orders,count_orders,max_orders,avg_volume,max_volume,min_volume,orders_per_day
2072,77960,2,1,2,300.0,300.0,300.0,0.06666666666666667
2072,78217,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,78616,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,78738,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,78757,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,78760,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,78841,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,79402,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,79788,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,80041,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,80105,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,80449,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,80810,1,1,1,504.0,504.0,504.0,0.03333333333333333
2072,81036,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,81123,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,81124,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,82009,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,82240,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,82301,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,83421,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,83441,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,83648,6,1,6,60.0,60.0,60.0,0.2
2072,84329,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,84657,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,84783,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,85045,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,85295,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,85548,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,85617,1,1,1,504.0,504.0,504.0,0.03333333333333333
2072,85654,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,85726,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,86015,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,86044,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,87174,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,87410,2,1,2,108.0,108.0,108.0,0.06666666666666667
2072,87519,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,87529,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,87564,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,87577,1,1,1,1000.0,1000.0,1000.0,0.03333333333333333
2072,87832,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,88342,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,88568,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,89138,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,89429,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,90023,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,90031,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,91011,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,91106,1,1,1,1728.0,1728.0,1728.0,0.03333333333333333
2072,91792,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,92163,1,1,1,680.0,680.0,680.0,0.03333333333333333
2072,92554,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,92570,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,92698,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,93232,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,93628,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,93928,1,1,1,1547.0,1547.0,1547.0,0.03333333333333333
2072,94060,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,94141,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,94543,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,94577,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,94708,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,94949,1,1,1,680.0,680.0,680.0,0.03333333333333333
2072,95215,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,95370,1,1,1,1000.0,1000.0,1000.0,0.03333333333333333
2072,95463,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,95497,6,1,6,108.0,108.0,108.0,0.2
2072,95920,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,95934,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,96271,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,96804,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,96860,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,97119,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,97219,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,97364,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,97639,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,98064,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,98175,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,98233,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,98263,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,99026,1,1,1,210.0,210.0,210.0,0.03333333333333333
2072,99608,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,99830,1,1,1,240.0,240.0,240.0,0.03333333333333333
4041,2055,1,1,1,300.0,300.0,300.0,0.03333333333333333
